replicate_id,bigvgan_base_24khz_100band,bigvgan_v2_24khz_100band_256x,bridgevoc,comvo_base,comvo_large,flow2gan,freev,griffin_lim,hifigan_universal_v1,periodwave_24k,periodwave_turbo,rfwave_libritts_24k,rndvoc,vocos_mel_24khz,wavefm
90,71.00704956054688,72.50333404541016,74.7497329711914,72.68695831298828,69.89067840576172,75.479248046875,65.5062255859375,79.35189056396484,65.8393325805664,65.23512268066406,72.66567993164062,63.54912567138672,76.20042419433594,74.82158660888672,66.18511962890625
91,70.87025451660156,72.4229736328125,74.6487045288086,72.49443054199219,69.79454040527344,75.37064361572266,65.30867767333984,79.24639892578125,65.64856719970703,65.11173248291016,72.59786224365234,63.55466079711914,76.142578125,74.62478637695312,66.0144271850586
92,70.93773651123047,72.48651885986328,74.69993591308594,72.60081481933594,69.83885192871094,75.40019226074219,65.45901489257812,79.3625259399414,65.764892578125,65.20864868164062,72.56209564208984,63.42049789428711,76.157958984375,74.76370239257812,66.17982482910156
93,70.88654327392578,72.42684173583984,74.63725280761719,72.50867462158203,69.75916290283203,75.37419128417969,65.3823013305664,79.24713134765625,65.51168823242188,65.08171081542969,72.55591583251953,63.50169372558594,76.10549926757812,74.67684173583984,66.10484313964844
94,71.04006958007812,72.56121063232422,74.77886199951172,72.64386749267578,69.89697265625,75.5479507446289,65.39983367919922,79.46932220458984,65.74959564208984,65.2978515625,72.7171630859375,63.55294799804688,76.24018859863281,74.80513000488281,66.19676208496094
95,70.53329467773438,72.15787506103516,74.4749526977539,72.16856384277344,69.53092956542969,75.03758239746094,64.55224609375,79.15093231201172,65.1628646850586,64.84835815429688,72.16897583007812,63.18880844116211,76.05159759521484,74.34239196777344,65.84451293945312
96,70.95599365234375,72.47748565673828,74.67115783691406,72.59407806396484,69.82259368896484,75.4378662109375,65.45160675048828,79.31050872802734,65.6591796875,65.13868713378906,72.61917114257812,63.59682846069336,76.1427993774414,74.75694274902344,66.18074798583984
97,70.76873016357422,72.37379455566406,74.6165542602539,72.3918685913086,69.68091583251953,75.23839569091797,64.90672302246094,79.30973052978516,65.42670440673828,65.05522155761719,72.42387390136719,63.43653106689453,76.12252807617188,74.55644989013672,66.04645538330078
98,70.79493713378906,72.34696960449219,74.5882797241211,72.5334243774414,69.81632232666016,75.22785186767578,65.36976623535156,79.27503967285156,65.7019271850586,65.13202667236328,72.47486114501953,63.5610580444336,76.00526428222656,74.61537170410156,65.89875030517578
99,70.74398803710938,72.37337493896484,74.6572036743164,72.34761047363281,69.63985443115234,75.30613708496094,64.462158203125,79.20855712890625,65.39204406738281,65.09053802490234,72.49385070800781,63.68390274047852,76.14950561523438,74.4465560913086,65.91728973388672
100,70.81674194335938,72.52340698242188,74.7305908203125,72.44438171386719,69.74430084228516,75.45125579833984,64.93084716796875,79.39339447021484,65.38675689697266,65.10456848144531,72.64585876464844,63.42223358154297,76.21261596679688,74.59735870361328,66.02928924560547
101,70.90462493896484,72.42361450195312,74.64058685302734,72.43264770507812,69.71046447753906,75.40501403808594,65.30665588378906,79.31007385253906,65.66815948486328,65.15714263916016,72.57247924804688,63.54975891113281,76.09783935546875,74.66839599609375,66.02940368652344
102,70.81204986572266,72.35585021972656,74.60962677001953,72.47955322265625,69.71086883544922,75.26087951660156,65.56907653808594,79.32469177246094,65.65377044677734,65.14271545410156,72.41222381591797,63.36546325683594,76.05689239501953,74.63645935058594,66.01449584960938
103,70.75558471679688,72.40229034423828,74.64360046386719,72.32112884521484,69.65433502197266,75.4092788696289,64.68951416015625,79.15792083740234,65.38126373291016,65.05147552490234,72.56172943115234,63.67852783203125,76.10086822509766,74.50686645507812,66.01358032226562
104,70.8835678100586,72.48851776123047,74.70796203613281,72.51165008544922,69.7553482055664,75.39112854003906,65.04168701171875,79.36754608154297,65.54766082763672,65.12672424316406,72.53981018066406,63.5167236328125,76.16297149658203,74.67599487304688,66.10112762451172
